number of swings,time_Anton,time_Adrian,time_Imke,time_Majbritt,time_Michael,terr_Anton,terr_Adrian,terr_Imke,terr_Majbritt,terr_Michael
1,10.6521,22.4556,13.3472,9.1975,12.9449,0.2,0.2,0.2,0.2,0.2
2,17.955,30.9566,20.6126,17.8283,21.5467,0.2,0.2,0.2,0.2,0.2
3,25.2859,39.7515,28.5501,26.612,30.0335,0.2,0.2,0.2,0.2,0.2
4,32.7297,48.402,36.3545,35.2624,38.7135,0.2,0.2,0.2,0.2,0.2
5,40.2169,57.1162,43.7626,43.7238,47.3682,0.2,0.2,0.2,0.2,0.2
6,47.6023,65.6361,51.9073,52.4244,55.9716,0.2,0.2,0.2,0.2,0.2
7,55.1402,74.2925,59.6253,60.9959,64.7926,0.2,0.2,0.2,0.2,0.2
8,62.7008,83.0629,67.4823,69.6763,73.0756,0.2,0.2,0.2,0.2,0.2
9,70.1607,91.5532,75.0984,78.283,81.8492,0.2,0.2,0.2,0.2,0.2
10,77.8352,100.1519,83.0396,86.6574,90.5309,0.2,0.2,0.2,0.2,0.2
11,85.3968,108.8458,91.0508,95.5523,98.98,0.2,0.2,0.2,0.2,0.2
12,92.9811,117.4813,99.0033,104.1236,107.6835,0.2,0.2,0.2,0.2,0.2
13,100.6574,126.2568,107.2685,112.7096,116.2564,0.2,0.2,0.2,0.2,0.2
14,108.3607,134.7369,115.0906,121.3827,124.6226,0.2,0.2,0.2,0.2,0.2
15,116.007,143.4473,123.0169,129.8914,133.5126,0.2,0.2,0.2,0.2,0.2
16,123.7841,152.0034,130.9864,138.5556,142.2318,0.2,0.2,0.2,0.2,0.2
17,131.6287,160.6519,139.4706,147.2177,150.8137,0.2,0.2,0.2,0.2,0.2
18,139.3829,169.3169,147.7147,155.7999,159.6008,0.2,0.2,0.2,0.2,0.2
19,147.295,177.9728,155.749,164.3453,168.1527,0.2,0.2,0.2,0.2,0.2
20,155.0997,186.6008,164.0224,173.0504,176.8722,0.2,0.2,0.2,0.2,0.2
21,162.9312,195.2619,172.4025,181.6354,185.3906,0.2,0.2,0.2,0.2,0.2
22,170.9399,203.9366,180.441,190.2879,193.9836,0.2,0.2,0.2,0.2,0.2
23,178.8135,220.7501,188.6704,198.915,202.6408,0.2,0.2,0.2,0.2,0.2
24,186.9536,229.7277,197.4159,207.5169,211.2534,0.2,0.2,0.2,0.2,0.2
25,194.9416,238.4126,205.8981,216.1918,220.0235,0.2,0.2,0.2,0.2,0.2
26,202.8722,246.9904,214.1392,224.7353,228.5747,0.2,0.2,0.2,0.2,0.2
27,211.1424,255.6129,222.6402,233.391,237.2163,0.2,0.2,0.2,0.2,0.2
28,,264.2894,,,269.2192,,0.2,,,0.2
29,,272.9966,,,270.3616,,0.2,,,0.2
30,,281.5818,,,271.8464,,0.2,,,0.2
31,,290.1329,,,272.4873,,0.2,,,0.2
32,,298.919,,,,,0.2,,,
33,,307.5866,,,,,0.2,,,
34,,316.3576,,,,,0.2,,,